id frame_id y x conf
1 1.0 0.349248 0.639424 0.937858
2 1.0 0.848161 1.335388 0.851824
3 1.0 0.327209 1.375858 0.897272
4 1.0 0.035231 1.116218 0.904352
5 1.0 0.659536 0.262104 0.907618
6 1.0 0.511128 1.552588 0.918181
7 1.0 0.179176 0.95908 0.891846
8 1.0 0.638049 0.666554 0.919137
9 1.0 0.382514 1.80452 0.921036
10 1.0 0.220619 0.92305 0.92144
11 1.0 0.90027 1.076658 0.925444
12 1.0 0.867182 0.576634 0.919057
13 2.0 0.180145 0.959098 0.895653
14 2.0 0.220712 0.922856 0.922878
15 2.0 0.382816 1.804666 0.921512
16 2.0 0.63869 0.666678 0.921391
17 2.0 0.866321 0.577036 0.923205
18 2.0 0.510703 1.552528 0.922277
19 2.0 0.659218 0.262832 0.908548
20 2.0 0.035287 1.116522 0.905099
21 2.0 0.323783 1.374804 0.909328
22 2.0 0.850317 1.355702 0.832504
23 2.0 0.349026 0.639298 0.937029
24 2.0 0.900505 1.076726 0.925803
25 3.0 0.181633 0.958924 0.900597
26 3.0 0.323294 1.373978 0.919376
27 3.0 0.0355265 1.117048 0.905199
28 3.0 0.659391 0.263258 0.913184
29 3.0 0.866304 0.576874 0.92748
30 3.0 0.637889 0.666492 0.929223
31 3.0 0.383034 1.80476 0.92359
32 3.0 0.221269 0.922744 0.923896
33 3.0 0.900435 1.076776 0.928201
34 3.0 0.853639 1.37656 0.831062
35 3.0 0.510243 1.552668 0.923391
36 3.0 0.348944 0.639148 0.938004
37 4.0 0.1826 0.95904 0.900231
38 4.0 0.221373 0.922338 0.923341
39 4.0 0.900326 1.076864 0.928961
40 4.0 0.348839 0.638908 0.938582
41 4.0 0.86603 0.576888 0.929637
42 4.0 0.509865 1.552898 0.925109
43 4.0 0.659437 0.2628 0.91512
44 4.0 0.383561 1.804808 0.924847
45 4.0 0.637512 0.666522 0.931624
46 4.0 0.0357642 1.117396 0.905078
47 4.0 0.322767 1.373772 0.922587
48 4.0 0.85878 1.402096 0.856195
49 5.0 0.865483 0.57708 0.933138
50 5.0 0.383819 1.804738 0.927036
51 5.0 0.0361841 1.1179 0.905849
52 5.0 0.322463 1.373724 0.925144
53 5.0 0.221521 0.921548 0.922813
54 5.0 0.899789 1.076896 0.930368
55 5.0 0.34883 0.638756 0.940747
56 5.0 0.636976 0.666932 0.932869
57 5.0 0.509786 1.553044 0.925924
58 5.0 0.659321 0.262324 0.916072
59 5.0 0.18377 0.958884 0.901195
60 5.0 0.862124 1.426124 0.873677
61 6.0 0.383506 1.804888 0.928652
62 6.0 0.221517 0.92111 0.92223
63 6.0 0.899575 1.07697 0.931958
64 6.0 0.348678 0.638494 0.941559
65 6.0 0.509436 1.553088 0.926818
66 6.0 0.659332 0.262004 0.916375
67 6.0 0.0367601 1.11846 0.905897
68 6.0 0.321439 1.373426 0.927693
69 6.0 0.184756 0.958744 0.901931
70 6.0 0.866223 1.44905 0.882341
71 6.0 0.865511 0.57703 0.934097
72 6.0 0.636313 0.667334 0.93138
73 7.0 0.319947 1.373 0.929143
74 7.0 0.185403 0.958696 0.90349
75 7.0 0.868602 1.468922 0.891692
76 7.0 0.348343 0.638326 0.941842
77 7.0 0.0379759 1.119136 0.903896
78 7.0 0.659273 0.261862 0.916748
79 7.0 0.508664 1.553002 0.926692
80 7.0 0.865417 0.577192 0.935422
81 7.0 0.635823 0.668124 0.930911
82 7.0 0.383427 1.804916 0.92936
83 7.0 0.221481 0.9208 0.922061
84 7.0 0.8995 1.07703 0.932834
85 8.0 0.865267 0.577094 0.936117
86 8.0 0.348407 0.638462 0.942746
87 8.0 0.383381 1.804792 0.930053
88 8.0 0.635582 0.668832 0.93033
89 8.0 0.222044 0.920118 0.919889
90 8.0 0.508073 1.552794 0.928589
91 8.0 0.899651 1.077006 0.933672
92 8.0 0.659208 0.26198 0.91633
