id frame_id y x conf
1 1.0 0.349158 0.639172 0.923744
2 1.0 0.18137 0.958594 0.85535
3 1.0 0.656778 0.262868 0.867392
4 1.0 0.037038 1.116782 0.873471
5 1.0 0.221352 0.922008 0.876837
6 1.0 0.3291 1.375894 0.881612
7 1.0 0.851644 1.351048 0.784263
8 1.0 0.635997 0.665876 0.893525
9 1.0 0.900383 1.076404 0.89535
10 1.0 0.865714 0.57588 0.904695
11 1.0 0.380976 1.80567 0.906842
12 1.0 0.511396 1.55294 0.890847
13 2.0 0.865648 0.576672 0.905824
14 2.0 0.850302 1.362876 0.798031
15 2.0 0.181715 0.958532 0.855845
16 2.0 0.656113 0.263512 0.864613
17 2.0 0.0369931 1.11751 0.874295
18 2.0 0.221197 0.922328 0.876923
19 2.0 0.326068 1.375476 0.888693
20 2.0 0.510365 1.552928 0.894479
21 2.0 0.637194 0.666128 0.894131
22 2.0 0.900865 1.076496 0.895896
23 2.0 0.381327 1.8056 0.905505
24 2.0 0.348884 0.638982 0.924284
25 3.0 0.637026 0.665894 0.894146
26 3.0 0.865809 0.576556 0.91054
27 3.0 0.900899 1.0766 0.896919
28 3.0 0.510254 1.553244 0.894863
29 3.0 0.324486 1.374488 0.891287
30 3.0 0.221583 0.922482 0.87659
31 3.0 0.0368693 1.117752 0.874873
32 3.0 0.656633 0.263668 0.867856
33 3.0 0.182845 0.958276 0.859693
34 3.0 0.38146 1.805588 0.906305
35 3.0 0.852498 1.378594 0.812881
36 3.0 0.348847 0.638638 0.924209
37 4.0 0.182784 0.958512 0.862142
38 4.0 0.656552 0.262936 0.875073
39 4.0 0.0367619 1.117948 0.874403
40 4.0 0.221514 0.922224 0.876656
41 4.0 0.323648 1.373852 0.89268
42 4.0 0.509968 1.553554 0.896406
43 4.0 0.637092 0.666428 0.896633
44 4.0 0.382153 1.80555 0.905326
45 4.0 0.900685 1.076722 0.898223
46 4.0 0.8657 0.576716 0.908654
47 4.0 0.858057 1.400552 0.829015
48 4.0 0.348672 0.638348 0.923975
49 5.0 0.0368642 1.118274 0.873871
50 5.0 0.510093 1.553958 0.895954
51 5.0 0.636906 0.66735 0.894571
52 5.0 0.900515 1.07644 0.899151
53 5.0 0.865544 0.577326 0.907964
54 5.0 0.382838 1.80559 0.907116
55 5.0 0.34878 0.637962 0.923769
56 5.0 0.862334 1.42302 0.843749
57 5.0 0.183258 0.958788 0.862954
58 5.0 0.656338 0.262384 0.876123
59 5.0 0.221501 0.921706 0.877192
60 5.0 0.322984 1.373744 0.893069
61 6.0 0.0369472 1.11862 0.874074
62 6.0 0.636963 0.668268 0.8982
63 6.0 0.32128 1.373008 0.897597
64 6.0 0.509569 1.553878 0.898143
65 6.0 0.656337 0.262016 0.877845
66 6.0 0.900525 1.076258 0.900191
67 6.0 0.865799 0.577524 0.907442
